Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Aruba,90866,92892,94992,97016,98744,100028,100830,101226,101362,101452,101665,102050
Africa Eastern and Southern,398113044,408522129,419223717,430246635,441630149,453404076,465581372,478166911,491173160,504604672,518468229,532760424
Afghanistan,20779957,21606992,22600774,23680871,24726689,25654274,26433058,27100542,27722281,28394806,29185511,30117411
Africa Western and Central,267214544,274433894,281842480,289469530,297353098,305520588,313985474,322741656,331772330,341050537,350556886,360285439
Angola,16395477,16945753,17519418,18121477,18758138,19433604,20149905,20905360,21695636,22514275,23356247,24220660
Albania,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195
Andorra,65390,67344,70048,73180,76250,78871,80995,82682,83860,84461,84454,83748
Arab World,282344141,288432153,294665202,301113869,307862846,314965776,322452764,330290752,338395936,346629179,354890097,363156846
United Arab Emirates,3134067,3302722,3478769,3711931,4068577,4588222,5300172,6168846,7089486,7917368,8549998,8946778
Argentina,36870796,37275644,37681743,38087866,38491970,38892924,39289876,39684303,40080159,40482786,40788453,41261490
Armenia,3069597,3050686,3033976,3017938,3000715,2981262,2958301,2932615,2907615,2888094,2877314,2876536
American Samoa,57816,58496,59077,59495,59684,59557,59109,58367,57490,56675,56084,55755
Antigua and Barbuda,76007,77212,78298,79311,80347,81462,82715,84029,85394,86743,88030,89250
Australia,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024
Austria,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643
Azerbaijan,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082
Burundi,6378871,6525546,6704118,6909161,7131688,7364857,7607850,7862226,8126104,8397661,8675606,8958406
Belgium,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264
Benin,6865946,7076728,7295400,7520556,7750003,7982223,8216893,8454790,8696915,8944713,9199254,9460829
Burkina Faso,11607951,11944589,12293097,12654624,13030576,13421935,13829173,14252029,14689725,15141098,15605211,16081915
Bangladesh,127657862,130088709,132478077,134791598,136986429,139035505,140921154,142660381,144304164,145924795,147575433,149273134
Bulgaria,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328
Bahrain,664610,697550,735140,778708,829846,889157,958423,1035924,1114645,1185075,1240864,1278153
"Bahamas, The",298045,302618,307657,313123,318893,324848,331032,337387,343680,349600,354936,359583
Bosnia and Herzegovina,3751176,3755514,3759389,3762179,3764194,3765332,3765422,3762791,3754261,3735945,3705478,3661173
Belarus,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9504583,9483836,9461643
Belize,247310,255068,262387,269428,276516,283798,291338,299031,306822,314655,322465,330236
Bermuda,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564
Bolivia,8418270,8580244,8742822,8905820,9069044,9232301,9395449,9558438,9721457,9884790,10048597,10212951
Brazil,174790339,177196051,179537523,181809244,184006479,186127108,188167353,190130445,192030362,193886505,195713637,197514541
Barbados,271511,272494,273423,274331,275283,276320,277475,278701,279946,281107,282131,282987
