Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,2.06484056,2.20516342,2.235514952,2.108323583,1.765472909,1.291950435,0.798578361,0.391971045,0.134262662,0.088751275,0.209731414,0.377979489,0.503385468,0.58329043,0.590508189,0.541048337,0.502859514,0.471874003,0.459265888,0.437414676,0.428016948,0.401008198
Africa Eastern and Southern,2.612275506,2.614605363,2.619585878,2.629364121,2.64581128,2.666015223,2.685749124,2.703187833,2.7200228,2.734577761,2.74740956,2.756619249,2.763425798,2.761495568,2.750400213,2.73259764,2.712217978,2.690901728,2.665619539,2.636666337,2.605427487,2.572460743
Afghanistan,2.975057223,3.902804964,4.496718747,4.668343795,4.321559517,3.682699881,2.990523836,2.493830391,2.268273041,2.396978302,2.746614638,3.143105557,3.407600033,3.494591927,3.355602331,3.077053629,2.778034788,2.54783304,2.384309079,2.313073349,2.303812093,2.303412133
Africa Western and Central,2.70753222,2.701705488,2.699588557,2.706139259,2.723453484,2.746731093,2.770643398,2.788722003,2.798112308,2.796558411,2.787372535,2.775170989,2.763802508,2.753564154,2.745542205,2.738331566,2.730331791,2.719329942,2.704168038,2.684151739,2.660901631,2.636290838
Angola,3.277215347,3.301173785,3.329262382,3.378794366,3.452987549,3.537604763,3.619584119,3.680601168,3.710554891,3.703841815,3.671493333,3.634150215,3.597754539,3.551997427,3.497447411,3.438869368,3.378269432,3.322158363,3.276144588,3.242914028,3.218530352,3.195915508
Albania,-0.637356834,-0.938470428,-0.299876697,-0.374149169,-0.417931378,-0.511790116,-0.630911245,-0.755718755,-0.767342959,-0.673894046,-0.496461963,-0.269017332,-0.16515104,-0.183211385,-0.207047,-0.291205787,-0.159880412,-0.091972294,-0.246732042,-0.426007367,-0.574206959,-0.926918062
Andorra,1.575272637,2.944447046,3.936690931,4.374143825,4.10952559,3.379619093,2.657381795,2.06144998,1.414681757,0.714114762,-0.008288192,-0.839471761,-1.589923668,-2.030744369,-1.946518269,-1.552134769,-0.898980862,-0.386281039,0.014285251,0.179041785,0.154134127,0.115121699
Arab World,2.152845616,2.156238121,2.161010461,2.18847253,2.241337147,2.3071735,2.377079851,2.430739902,2.453954266,2.43302065,2.38321483,2.329382834,2.280225773,2.223478201,2.160504112,2.095506434,2.023741985,1.955221378,1.919966442,1.909788261,1.918912231,1.934746128
United Arab Emirates,5.510750099,5.241545482,5.193151862,6.487373081,9.174108048,12.01992783,14.42466877,15.17725135,13.91010551,11.04459859,7.687222167,4.536241844,2.15417386,0.614086082,0.176775198,0.527292388,1.053270899,1.339470237,1.503937821,1.438677058,1.219428682,1.012840548
Argentina,1.100608135,1.092033612,1.08355691,1.072004712,1.055389439,1.036268365,1.015454578,0.998884153,0.992570476,0.999542289,0.752217993,1.15305928,1.136905694,1.1191092,1.099461091,1.078001344,1.057181578,1.037133897,1.015808349,0.993397493,0.970053991,0.947490959
